Bromeliad,Actual_volume,Maximum_volume,Longest_leaf,Number_of_leaves,Detritus,Plant_height,Plant_diameter,Spider_survey,Notes,date_collected
Brom.3,152.0,335.0,43.0,26.0,3.05,NA,NA,No C or A,NA,2008-01-17
Brom.46,255.0,525.0,47.0,41.0,22.53,NA,NA,No C or A,NA,2008-01-18
Brom.95,145.0,410.0,88.5,33.0,32.56,NA,NA,A,NA,2008-01-19
Brom.102,285.0,625.0,81.0,28.0,45.8,NA,NA,C,NA,2008-01-19
Brom.16,655.0,1270.0,62.0,53.0,89.65,NA,NA,A,NA,2008-01-20
Brom.48,910.0,1625.0,74.0,51.0,59.11,NA,NA,C,NA,2008-01-22
Brom.85,40.0,85.0,44.0,19.0,5.2,NA,NA,C,NA,2008-01-23
Brom.64,1065.0,2840.0,73.0,87.0,82.12,NA,NA,C,NA,2008-01-26
Brom.82,5.0,8.0,28.0,8.0,1.58,NA,NA,NS,NA,2008-01-26
Brom.77,105.0,270.0,73.0,29.0,24.63,NA,NA,C,NA,2008-01-26
Brom.7,40.0,90.0,37.0,15.0,3.81,NA,NA,NS,NA,2008-01-27
Brom.1,830.0,1760.0,58.0,62.0,73.95,NA,NA,C,NA,2008-01-28
Brom.4,385.0,810.0,60.0,42.0,32.93,NA,NA,C,NA,2008-01-29
Brom.53,65.0,140.0,31.0,23.0,6.25,NA,NA,C,NA,2008-01-29
Brom.40,280.0,910.0,71.0,51.0,56.34,NA,NA,C,NA,2008-01-30
Brom.79,765.0,1380.0,85.0,51.0,72.92,NA,NA,C,NA,2008-01-31
Brom.A,25.0,55.0,44.0,16.0,5.22,NA,NA,A,Quad 4,2008-01-02
Brom.B,22.0,41.0,25.5,15.0,0.11,NA,NA,NA,red secretions by bromeliad,2008-02-04
Brom.C,90.0,155.0,32.4,17.0,0.54,NA,NA,NA,red secretions by bromeliad,2008-02-04
Brom.D,70.0,127.0,31.0,18.0,4.01,NA,NA,NA,NA,2008-02-04
Brom.E,20.0,37.0,19.0,23.0,0.23,NA,NA,NA,NA,2008-02-05
Brom.F,40.0,72.0,24.0,20.0,0.69,NA,NA,NA,NA,2008-02-05
Brom.G,27.0,52.0,17.0,21.0,0.1,19.0,10.0,NA,red secretions,2008-02-06
Brom.H,8.0,21.0,29.0,14.0,1.1,26.0,32.0,NA,NA,2008-02-06
Brom.I,8.0,19.0,18.0,23.0,0.02,21.0,12.0,NA,red secretions,2008-02-06
