dataset_name,variable_name
abundance.csv,sp_code
abundance.csv,Bromeliad
abundance.csv,abundance
environmental_variables.csv,Bromeliad
environmental_variables.csv,Actual_volume
environmental_variables.csv,Maximum_volume
environmental_variables.csv,Longest_leaf
environmental_variables.csv,Number_of_leaves
environmental_variables.csv,Detritus
environmental_variables.csv,Plant_height
environmental_variables.csv,Plant_diameter
environmental_variables.csv,Spider_survey
environmental_variables.csv,Notes
environmental_variables.csv,date_collected
macroinvertebrate_names_mass.csv,sp_code
macroinvertebrate_names_mass.csv,morphospecies
macroinvertebrate_names_mass.csv,field_name
macroinvertebrate_names_mass.csv,body_length
macroinvertebrate_names_mass.csv,body_category
macroinvertebrate_names_mass.csv,life_stage
macroinvertebrate_names_mass.csv,average_percapita_biomass
macroinvertebrate_names_mass.csv,estimating_formula
macroinvertebrate_names_mass.csv,comment
predator_names.csv,Taxa
predator_names.csv,morphospecies
